"title","replacement_cost","replacement_cost_standard"
"Academy Dinosaur",20.99,"Medium"
"Ace Goldfinger",12.99,"Low"
"Adaptation Holes",18.99,"Medium"
"Affair Prejudice",26.99,"High"
"African Egg",22.99,"Medium"
"Agent Truman",17.99,"Medium"
"Airplane Sierra",28.99,"High"
"Airport Pollock",15.99,"Low"
"Alabama Devil",21.99,"Medium"
"Aladdin Calendar",24.99,"High"
"Alamo Videotape",16.99,"Medium"
"Alaska Phantom",22.99,"Medium"
"Ali Forever",21.99,"Medium"
"Alice Fantasia",23.99,"Medium"
"Alien Center",10.99,"Low"
"Alley Evolution",23.99,"Medium"
"Alone Trip",14.99,"Low"
"Alter Victory",27.99,"High"
"Amadeus Holy",20.99,"Medium"
"Amelie Hellfighters",23.99,"Medium"
"American Circus",17.99,"Medium"
"Amistad Midsummer",10.99,"Low"
"Anaconda Confessions",9.99,"Low"
"Analyze Hoosiers",19.99,"Medium"
"Angels Life",15.99,"Low"
"Annie Identity",15.99,"Low"
"Anonymous Human",12.99,"Low"
"Anthem Luke",16.99,"Medium"
"Antitrust Tomatoes",11.99,"Low"
"Anything Savannah",27.99,"High"
"Apache Divine",16.99,"Medium"
"Apocalypse Flamingos",11.99,"Low"
"Apollo Teen",15.99,"Low"
"Arabia Dogma",29.99,"High"
"Arachnophobia Rollercoaster",24.99,"High"
"Argonauts Town",12.99,"Low"
"Arizona Bang",28.99,"High"
"Ark Ridgemont",25.99,"High"
"Armageddon Lost",10.99,"Low"
"Army Flintstones",22.99,"Medium"
"Arsenic Independence",17.99,"Medium"
"Artist Coldblooded",10.99,"Low"
"Atlantis Cause",15.99,"Low"
"Attacks Hate",21.99,"Medium"
"Attraction Newton",14.99,"Low"
"Autumn Crow",13.99,"Low"
"Baby Hall",23.99,"Medium"
"Backlash Undefeated",24.99,"High"
"Badman Dawn",22.99,"Medium"
"Baked Cleopatra",20.99,"Medium"
"Balloon Homeward",10.99,"Low"
"Ballroom Mockingbird",29.99,"High"
"Bang Kwai",25.99,"High"
"Banger Pinocchio",15.99,"Low"
"Barbarella Streetcar",27.99,"High"
"Barefoot Manchurian",15.99,"Low"
"Basic Easy",18.99,"Medium"
"Beach Heartbreakers",16.99,"Medium"
"Bear Graceland",20.99,"Medium"
"Beast Hunchback",22.99,"Medium"
"Beauty Grease",28.99,"High"
"Bed Highball",23.99,"Medium"
"Bedazzled Married",21.99,"Medium"
"Beethoven Exorcist",26.99,"High"
"Behavior Runaway",20.99,"Medium"
"Beneath Rush",27.99,"High"
"Berets Agent",24.99,"High"
"Betrayed Rear",26.99,"High"
"Beverly Outlaw",21.99,"Medium"
"Bikini Borrowers",26.99,"High"
"Bilko Anonymous",25.99,"High"
"Bill Others",12.99,"Low"
"Bingo Talented",22.99,"Medium"
"Birch Antitrust",18.99,"Medium"
"Bird Independence",14.99,"Low"
"Birdcage Casper",23.99,"Medium"
"Birds Perdition",15.99,"Low"
"Blackout Private",12.99,"Low"
"Blade Polish",10.99,"Low"
"Blanket Beverly",21.99,"Medium"
"Blindness Gun",29.99,"High"
"Blood Argonauts",13.99,"Low"
"Blues Instinct",18.99,"Medium"
"Boiled Dares",13.99,"Low"
"Bonnie Holocaust",29.99,"High"
"Boogie Amelie",11.99,"Low"
"Boondock Ballroom",14.99,"Low"
"Born Spinal",17.99,"Medium"
"Borrowers Bedazzled",22.99,"Medium"
"Boulevard Mob",11.99,"Low"
"Bound Cheaper",17.99,"Medium"
"Bowfinger Gables",19.99,"Medium"
"Brannigan Sunrise",27.99,"High"
"Braveheart Human",14.99,"Low"
"Breakfast Goldfinger",18.99,"Medium"
"Breaking Home",21.99,"Medium"
"Bride Intrigue",24.99,"High"
"Bright Encounters",12.99,"Low"
"Bringing Hysterical",14.99,"Low"
"Brooklyn Desert",21.99,"Medium"
"Brotherhood Blanket",26.99,"High"
"Bubble Grosse",20.99,"Medium"
"Bucket Brotherhood",27.99,"High"
"Bugsy Song",17.99,"Medium"
"Bull Shawshank",21.99,"Medium"
"Bulworth Commandments",14.99,"Low"
"Bunch Minds",13.99,"Low"
"Butch Panther",19.99,"Medium"
"Butterfly Chocolat",17.99,"Medium"
"Cabin Flash",25.99,"High"
"Caddyshack Jedi",17.99,"Medium"
"Calendar Gunfight",22.99,"Medium"
"California Birds",19.99,"Medium"
"Camelot Vacation",26.99,"High"
"Campus Remember",27.99,"High"
"Candidate Perdition",10.99,"Low"
"Candles Grapes",15.99,"Low"
"Canyon Stock",26.99,"High"
"Caper Motions",22.99,"Medium"
"Caribbean Liberty",16.99,"Medium"
"Carol Texas",15.99,"Low"
"Carrie Bunch",11.99,"Low"
"Casablanca Super",22.99,"Medium"
"Casper Dragonfly",16.99,"Medium"
"Cassidy Wyoming",19.99,"Medium"
"Casualties Encino",16.99,"Medium"
"Cat Coneheads",14.99,"Low"
"Catch Amistad",10.99,"Low"
"Cause Date",16.99,"Medium"
"Celebrity Horn",24.99,"High"
"Center Dinosaur",12.99,"Low"
"Chainsaw Uptown",25.99,"High"
"Chamber Italian",14.99,"Low"
"Champion Flatliners",21.99,"Medium"
"Chance Resurrection",22.99,"Medium"
"Chaplin License",26.99,"High"
"Charade Duffel",21.99,"Medium"
"Chariots Conspiracy",29.99,"High"
"Chasing Fight",21.99,"Medium"
"Cheaper Clyde",23.99,"Medium"
"Chicago North",11.99,"Low"
"Chicken Hellfighters",24.99,"High"
"Chill Luck",17.99,"Medium"
"Chinatown Gladiator",24.99,"High"
"Chisum Behavior",25.99,"High"
"Chitty Lock",24.99,"High"
"Chocolat Harry",16.99,"Medium"
"Chocolate Duck",13.99,"Low"
"Christmas Moonshine",21.99,"Medium"
"Cider Desire",9.99,"Low"
"Cincinatti Whisperer",26.99,"High"
"Circus Youth",13.99,"Low"
"Citizen Shrek",18.99,"Medium"
"Clash Freddy",12.99,"Low"
"Cleopatra Devil",26.99,"High"
"Clerks Angels",15.99,"Low"
"Clockwork Paradise",29.99,"High"
"Clones Pinocchio",16.99,"Medium"
